GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,white,black,native,asian,hawaiian,other,multi,white_his,black_his,native_his,asian_his,hawaiian_his,other_his,multi_his
G3601190005902,2000,NY,1,2,New York,36,Westchester,119,,,,,0,005902,005902,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,2580751,6351068,Census Tract 59.02,S,40909745,-73765859,,,,3529,944,8,247,1,21,128,382,52,1,3,0,170,23
G3601190006000,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006000,006000,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,914404,0,Census Tract 60,S,40915825,-73775409,,,,1580,550,4,38,0,7,40,495,12,6,2,5,216,56
G3601190006100,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006100,006100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,885738,0,Census Tract 61,S,40905986,-73790869,,,,1040,391,0,27,0,6,36,588,18,9,0,6,349,40
G3601190006200,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006200,006200,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,705048,0,Census Tract 62,S,40911452,-73798007,,,,1961,581,5,47,2,7,47,1886,10,7,9,0,722,179
G3601190006300,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006300,006300,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,729023,0,Census Tract 63,S,40913115,-73788206,,,,1467,1800,10,300,2,29,120,1352,39,4,1,0,643,138
G3601190006400,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006400,006400,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1024742,14687,Census Tract 64,S,40919356,-73795442,,,,881,3503,6,93,8,7,131,373,74,5,0,0,312,57
G3601190006500,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006500,006500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,2143471,0,Census Tract 65,S,40923366,-73779343,,,,1839,1938,2,179,0,11,211,676,61,7,3,1,390,96
G3601190006600,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006600,006600,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1896079,60142,Census Tract 66,S,40929435,-73797086,,,,3995,591,6,223,1,21,97,217,14,0,4,0,136,42
G3601190006700,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006700,006700,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,3770562,122867,Census Tract 67,S,40940146,-73781845,,,,4107,485,2,114,0,13,73,150,17,2,0,0,30,13
G3601190006801,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006801,006801,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,3514468,13319,Census Tract 68.01,S,40974329,-73783959,,,,4775,255,0,210,0,4,50,111,16,0,0,0,15,9
